condition,category,layer,scale,n_features,features,accuracy,acc_delta,mean_entropy,n_flipped_to_correct,n_flipped_to_incorrect
baseline,,,,0,,0.8053016453382084,0.0,0.5549643433974609,0,0
L20_pure_uncertainty,pure_uncertainty,20,0.0,5,"[9495, 11280, 7773, 11493, 32003]",0.79981718464351,-0.5484460694698323,0.3831697143160975,9,15
L20_pure_incorrectness,pure_incorrectness,20,0.0,3,"[6788, 6019, 13022]",0.8053016453382084,0.0,0.5551561548696384,0,0
L20_both,both,20,0.0,1,[28843],0.8080438756855576,0.2742230347349217,0.424334607328845,11,8
L24_pure_uncertainty,pure_uncertainty,24,0.0,5,"[29371, 1302, 13232, 12254, 11052]",0.7897623400365631,-1.5539305301645268,0.3072618012590218,37,54
L24_pure_incorrectness,pure_incorrectness,24,0.0,3,"[25594, 30381, 2593]",0.8053016453382084,0.0,0.5550801401304071,0,0
L24_both,both,24,0.0,3,"[18192, 27356, 16312]",0.8107861060329068,0.5484460694698434,0.3819662345202139,12,6
L28_pure_uncertainty,pure_uncertainty,28,0.0,5,"[5890, 19290, 21103, 9966, 32593]",0.8071297989031079,0.1828153564899515,0.31823920437474895,14,12
L28_pure_incorrectness,pure_incorrectness,28,0.0,1,[15410],0.8053016453382084,0.0,0.5549527117165258,0,0
L28_both,both,28,0.0,1,[7037],0.8080438756855576,0.2742230347349217,0.5117053747691309,4,1
L31_pure_uncertainty,pure_uncertainty,31,0.0,5,"[8870, 16986, 29282, 9926, 29457]",0.49725776965265084,-30.804387568555754,0.566158383805475,45,382
L31_pure_incorrectness,pure_incorrectness,31,0.0,4,"[28069, 6282, 13011, 25766]",0.8062157221206582,0.0914076782449813,0.5520873299588737,2,1
L31_both,both,31,0.0,5,"[23605, 1895, 19864, 28707, 32006]",0.726691042047532,-7.861060329067637,0.5392331979280062,50,136
all_layers_pure_uncertainty,pure_uncertainty,all,0.0,20,"{20: [9495, 11280, 7773, 11493, 32003], 24: [29371, 1302, 13232, 12254, 11052], 28: [5890, 19290, 21103, 9966, 32593], 31: [8870, 16986, 29282, 9926, 29457]}",0.6444241316270567,-16.087751371115168,0.3460063249577421,56,232
all_layers_pure_incorrectness,pure_incorrectness,all,0.0,11,"{20: [6788, 6019, 13022], 24: [25594, 30381, 2593], 28: [15410], 31: [28069, 6282, 13011, 25766]}",0.8062157221206582,0.0914076782449813,0.5521708256224515,2,1
all_layers_both,both,all,0.0,10,"{20: [28843], 24: [18192, 27356, 16312], 28: [7037], 31: [23605, 1895, 19864, 28707, 32006]}",0.7669104204753199,-3.8391224862888484,0.4531092306916556,29,71
