condition,category,layer,scale,n_features,features,accuracy,acc_delta,mean_entropy,n_flipped_to_correct,n_flipped_to_incorrect
baseline,,,,0,,0.6239851872952571,0.0,0.8231365405004328,0,0
L20_pure_uncertainty,pure_uncertainty,20,0.0,5,"[29624, 28399, 26100, 340, 4017]",0.6237715425153112,-0.021364477994589848,0.8434681455075996,41,44
L20_pure_incorrectness,pure_incorrectness,20,0.0,2,"[10682, 16986]",0.6141575274177468,-0.9827659877510331,0.8896553182235674,231,369
L20_both,both,20,0.0,5,"[28843, 9495, 17104, 32434, 12536]",0.6288278023073636,0.4842615012106477,0.5904891621233892,271,203
L24_pure_uncertainty,pure_uncertainty,24,0.0,3,"[6551, 2975, 11640]",0.6240564022219057,0.007121492664863283,0.8233057239629514,3,2
L24_pure_incorrectness,pure_incorrectness,24,0.0,4,"[27880, 32108, 10068, 30258]",0.6177894886768267,-0.619569861843039,0.8861261275241088,177,264
L24_both,both,24,0.0,5,"[18192, 29371, 4121, 27356, 11052]",0.6350235009257941,1.1038313630536978,0.43399550386017655,882,727
L28_pure_uncertainty,pure_uncertainty,28,0.0,5,"[28733, 31247, 21573, 20524, 3304]",0.6232018231021222,-0.078336419313485,0.8167863629077277,37,48
L28_pure_incorrectness,pure_incorrectness,28,0.0,3,"[23027, 13750, 13440]",0.6202820111095285,-0.3703176185728574,0.8739755586967397,137,189
L28_both,both,28,0.0,5,"[7037, 5890, 21103, 19290, 9128]",0.625338270901581,0.13530836063239127,0.6386790274148426,1100,1081
L31_pure_uncertainty,pure_uncertainty,31,0.0,5,"[29613, 30472, 23165, 21440, 16429]",0.6239851872952571,0.0,0.8226033779801442,4,4
L31_pure_incorrectness,pure_incorrectness,31,0.0,4,"[27504, 24282, 12933, 27263]",0.6223472439823386,-0.1637943312918444,0.8123317437214341,89,112
L31_both,both,31,0.0,5,"[28707, 23605, 16237, 29282, 29457]",0.40727816550348955,-21.670702179176754,0.6455411450966441,1554,4597
all_layers_pure_uncertainty,pure_uncertainty,all,0.0,18,"{20: [29624, 28399, 26100, 340, 4017], 24: [6551, 2975, 11640], 28: [28733, 31247, 21573, 20524, 3304], 31: [29613, 30472, 23165, 21440, 16429]}",0.6232730380287709,-0.07121492664862172,0.8383967736838079,69,79
all_layers_pure_incorrectness,pure_incorrectness,all,0.0,13,"{20: [10682, 16986], 24: [27880, 32108, 10068, 30258], 28: [23027, 13750, 13440], 31: [27504, 24282, 12933, 27263]}",0.6149408916108816,-0.9044295684375481,0.8921952664211718,312,439
all_layers_both,both,all,0.0,20,"{20: [28843, 9495, 17104, 32434, 12536], 24: [18192, 29371, 4121, 27356, 11052], 28: [7037, 5890, 21103, 19290, 9128], 31: [28707, 23605, 16237, 29282, 29457]}",0.5687224042159237,-5.526278307933341,0.4555424182904599,1130,1906
